Dataset,Cross-Entropy,Accuracy,mode
kin8nm,-0.0,1.0,normal
kin8nm,-0.0,1.0,weighted
kin8nm,-0.0,1.0,normal
kin8nm,-0.0,1.0,weighted
kin8nm,-0.0,1.0,normal
kin8nm,-0.0,1.0,weighted
kin8nm,-0.0,1.0,normal
kin8nm,-0.0,1.0,weighted
kin8nm,-0.0,1.0,normal
kin8nm,-0.0,1.0,weighted
white_wine,-0.0,1.0,normal
white_wine,-0.0,1.0,weighted
white_wine,-0.0,1.0,normal
white_wine,-0.0,1.0,weighted
white_wine,-0.0,1.0,normal
white_wine,-0.0,1.0,weighted
white_wine,-0.0,1.0,normal
white_wine,-0.0,1.0,weighted
white_wine,-0.0,1.0,normal
white_wine,-0.0,1.0,weighted
cpu_activity,-0.0,1.0,normal
cpu_activity,-0.0,1.0,weighted
cpu_activity,-0.0,1.0,normal
cpu_activity,-0.0,1.0,weighted
cpu_activity,-0.0,1.0,normal
cpu_activity,-0.0,1.0,weighted
cpu_activity,-0.0,1.0,normal
cpu_activity,-0.0,1.0,weighted
cpu_activity,-0.0,1.0,normal
cpu_activity,-0.0,1.0,weighted
pumadyn32nh,-0.0,1.0,normal
pumadyn32nh,-0.0,1.0,weighted
pumadyn32nh,-0.0,1.0,normal
pumadyn32nh,-0.0,1.0,weighted
pumadyn32nh,-0.0,1.0,normal
pumadyn32nh,-0.0,1.0,weighted
pumadyn32nh,-0.0,1.0,normal
pumadyn32nh,-0.0,1.0,weighted
pumadyn32nh,-0.0,1.0,normal
pumadyn32nh,-0.0,1.0,weighted
wave_energy,-0.0,1.0,normal
wave_energy,-0.0,1.0,weighted
wave_energy,-0.0,1.0,normal
wave_energy,-0.0,1.0,weighted
wave_energy,-0.0,1.0,normal
wave_energy,-0.0,1.0,weighted
wave_energy,-0.0,1.0,normal
wave_energy,-0.0,1.0,weighted
wave_energy,-0.0,1.0,normal
wave_energy,-0.0,1.0,weighted
superconductivity,-0.0,1.0,normal
superconductivity,-0.0,1.0,weighted
superconductivity,-0.0,1.0,normal
superconductivity,-0.0,1.0,weighted
superconductivity,-0.0,1.0,normal
superconductivity,-0.0,1.0,weighted
superconductivity,-0.0,1.0,normal
superconductivity,-0.0,1.0,weighted
superconductivity,-0.0,1.0,normal
superconductivity,-0.0,1.0,weighted
