method,nr samples,time (s)
InfluenceSubsample,1000,172.30599975585938
LeaveOneOut,1000,244.79499888420105
DataShapley,1000,204.05672883987427
BetaShapley,1000,197.7959988117218
DataBanzhaf,1000,126.50007152557373
DataOob,1000,243.16506671905518
AME,1000,499.58199858665466
DVRL,1000,32.4420006275177
KNNShapley,1000,0.17199993133544922
LavaEvaluator,1000,0.21600127220153809
LossVal (epochs=5),1000,1.9060001373291016
LossVal (epochs=30),1000,11.115000009536743
InfluenceSubsample,1000,171.29099774360657
LeaveOneOut,1000,243.77600002288818
DataShapley,1000,170.48551106452942
BetaShapley,1000,194.46600008010864
DataBanzhaf,1000,126.97000002861023
DataOob,1000,245.1740276813507
AME,1000,504.87599754333496
DVRL,1000,32.90900111198425
KNNShapley,1000,0.15399980545043945
LavaEvaluator,1000,0.0709996223449707
LossVal (epochs=5),1000,1.8010008335113525
LossVal (epochs=30),1000,10.504999876022339
InfluenceSubsample,1000,171.3470001220703
LeaveOneOut,1000,245.1870002746582
DataShapley,1000,196.27000093460083
BetaShapley,1000,206.84399962425232
DataBanzhaf,1000,127.36400032043457
DataOob,1000,245.56699967384338
AME,1000,504.3190019130707
DVRL,1000,33.23500108718872
KNNShapley,1000,0.15999984741210938
LavaEvaluator,1000,0.0729987621307373
LossVal (epochs=5),1000,1.7920007705688477
LossVal (epochs=30),1000,10.509999990463257
InfluenceSubsample,1000,172.20500016212463
LeaveOneOut,1000,245.44700002670288
DataShapley,1000,193.91999888420105
BetaShapley,1000,205.93000102043152
DataBanzhaf,1000,127.0699999332428
DataOob,1000,245.29800033569336
AME,1000,504.467000246048
DVRL,1000,32.55600142478943
KNNShapley,1000,0.15599894523620605
LavaEvaluator,1000,0.06999969482421875
LossVal (epochs=5),1000,1.7829983234405518
LossVal (epochs=30),1000,10.464000225067139
InfluenceSubsample,1000,172.4840006828308
LeaveOneOut,1000,245.5640001296997
DataShapley,1000,216.65000104904175
BetaShapley,1000,248.47100019454956
DataBanzhaf,1000,127.81900000572205
DataOob,1000,246.92699909210205
AME,1000,531.6711194515228
DVRL,1000,33.98400139808655
KNNShapley,1000,0.15800166130065918
LavaEvaluator,1000,0.08999919891357422
LossVal (epochs=5),1000,1.8119995594024658
LossVal (epochs=30),1000,10.489000082015991
InfluenceSubsample,100,2.6329996585845947
LeaveOneOut,100,3.452000141143799
DataShapley,100,375.7454032897949
BetaShapley,100,282.66321420669556
DataBanzhaf,100,1.848998785018921
DataOob,100,3.214000940322876
AME,100,7.657508850097656
DVRL,100,3.41999888420105
KNNShapley,100,0.01900029182434082
LavaEvaluator,100,0.08299970626831055
LossVal (epochs=5),100,0.26600098609924316
LossVal (epochs=30),100,1.3120007514953613
InfluenceSubsample,100,2.6129984855651855
LeaveOneOut,100,3.5420031547546387
DataShapley,100,183.67764449119568
BetaShapley,100,171.10508799552917
DataBanzhaf,100,1.9999995231628418
DataOob,100,3.2510008811950684
AME,100,7.937000751495361
DVRL,100,3.5929994583129883
KNNShapley,100,0.020999431610107422
LavaEvaluator,100,0.06100010871887207
LossVal (epochs=5),100,0.33499979972839355
LossVal (epochs=30),100,1.3219997882843018
InfluenceSubsample,100,2.6500003337860107
LeaveOneOut,100,3.4919989109039307
DataShapley,100,254.60281038284302
BetaShapley,100,291.1044178009033
DataBanzhaf,100,1.8660001754760742
DataOob,100,3.221998929977417
AME,100,7.7029993534088135
DVRL,100,3.380000114440918
KNNShapley,100,0.019999980926513672
LavaEvaluator,100,0.059999942779541016
LossVal (epochs=5),100,0.2700009346008301
LossVal (epochs=30),100,1.315000295639038
InfluenceSubsample,100,2.7650020122528076
LeaveOneOut,100,3.5470001697540283
DataShapley,100,181.31378030776978
BetaShapley,100,169.38864970207214
DataBanzhaf,100,1.9530003070831299
DataOob,100,3.240000009536743
AME,100,7.688997030258179
DVRL,100,3.3639988899230957
KNNShapley,100,0.019999980926513672
LavaEvaluator,100,0.05499982833862305
LossVal (epochs=5),100,0.27100110054016113
LossVal (epochs=30),100,1.317000150680542
InfluenceSubsample,100,2.6460001468658447
LeaveOneOut,100,3.5259993076324463
DataShapley,100,176.68965363502502
BetaShapley,100,231.66117882728577
DataBanzhaf,100,1.8739981651306152
DataOob,100,3.275001049041748
AME,100,7.895003795623779
DVRL,100,3.6069984436035156
KNNShapley,100,0.024000167846679688
LavaEvaluator,100,0.06299996376037598
LossVal (epochs=5),100,0.2700009346008301
LossVal (epochs=30),100,1.3449969291687012
